Timestamp	Iterationer	Rumtemperatur	Slush Ice temperatur	Brinetemperatur	Lufttemperaturen fra kondensator	Motortemperatur	Temperaturen efter fordamper	Kondensator luft	Kompressortemperatur	Temperatur efter EPV	Temperatur efter kompressor	Temperatur efter kondensator 	Tryk høj	Tryk lav
	2229,000000	28,395461	-0,291112	-0,103388		27,912312	5,135116	24,501165	-3,940296	49,558627	26,320583	51,921811	6,409840	-0,112619
	2230,000000	28,303073	-0,290366	-0,102001		27,914466	5,149766	24,502957	-3,941806	49,570199	26,333835	51,883209	6,406423	-0,111561
	2231,000000	28,338599	-0,297088	-0,136824		27,916337	5,177419	24,488058	-3,928075	49,584894	26,324627	51,858311	6,411549	-0,111561
	2232,000000	28,395461	-0,291806	-0,127005		27,921608	5,176998	24,493345	-3,921476	49,579429	26,329469	51,826978	6,406423	-0,110504
	2233,000000	28,310177	-0,280638	-0,115503		27,938859	5,199567	24,489263	-3,925037	49,576402	26,327235	51,782576	6,409840	-0,108388
	2234,000000	28,388352	-0,292710	-0,105282		27,929882	5,216879	24,489661	-3,923283	49,558195	26,309436	51,739513	6,408132	-0,110504
	2235,000000	28,295968	-0,287895	-0,104201		27,943968	5,238389	24,489779	-3,900767	49,554872	26,314186	51,711335	6,409840	-0,110504
	2236,000000	28,431013	-0,314144	-0,103841		27,939440	5,253261	24,488740	-3,907176	49,578946	26,329889	51,688481	6,406423	-0,111561
	2237,000000	28,559080	-0,269129	-0,104027		27,957503	5,274702	24,495244	-3,902005	49,625606	26,338957	51,641441	6,411549	-0,111561
	2238,000000	28,381243	-0,284831	-0,117784		27,965157	5,282047	24,473795	-3,890210	49,642975	26,323466	51,610379	6,406423	-0,111561
	2239,000000	28,381243	-0,291890	-0,127724		27,971132	5,282340	24,493244	-3,892950	49,621938	26,322761	51,548343	6,411549	-0,110504
	2240,000000	28,374135	-0,297592	-0,122868		27,970866	5,305055	24,490397	-3,868078	49,603334	26,318608	51,537055	6,408132	-0,110504
	2241,000000	28,288865	-0,280301	-0,106216		27,980819	5,323003	24,491162	-3,870615	49,576888	26,319469	51,501813	6,413257	-0,109446
	2242,000000	28,331493	-0,279528	-0,104668		27,977798	5,321636	24,483524	-3,858332	49,553348	26,319863	51,452037	6,408132	-0,108388
	2243,000000	28,260454	-0,280564	-0,112234		27,982694	5,354579	24,500601	-3,840579	49,557240	26,294547	51,424330	6,406423	-0,111561
	2244,000000	28,352812	-0,270652	-0,099971		27,987251	5,358070	24,494112	-3,837617	49,525909	26,316472	51,396384	6,413257	-0,109446
	2245,000000	28,352812	-0,279229	-0,106909		27,992373	5,393672	24,487636	-3,831029	49,539229	26,333042	51,355968	6,406423	-0,107331
	2246,000000	28,559080	-0,279607	-0,137371		27,987583	5,396389	24,480066	-3,817843	49,540581	26,347760	51,309045	6,411549	-0,107331
	2247,000000	28,480802	-0,270521	-0,130260		27,997517	5,414486	24,492611	-3,797266	49,561800	26,332430	51,273440	6,409840	-0,106273
	2248,000000	28,146872	-0,292268	-0,116728		27,999332	5,429686	24,482634	-3,786450	49,592335	26,332695	51,262872	6,409840	-0,112619
	2249,000000	28,324387	-0,278624	-0,120451		28,015622	5,440514	24,486438	-3,775311	49,577466	26,349834	51,198828	6,413257	-0,109446
	2250,000000	28,196552	-0,285235	-0,127697		27,991691	5,470714	24,464278	-3,767732	49,568060	26,352147	51,158503	6,408132	-0,108388
	2251,000000	28,310177	-0,281882	-0,129779		28,002663	5,478098	24,483394	-3,748882	49,582759	26,347725	51,145504	6,413257	-0,111561
	2252,000000	28,352812	-0,275881	-0,118064		28,013638	5,476928	24,470806	-3,759741	49,566274	26,367264	51,111243	6,409840	-0,109446
	2253,000000	28,338599	-0,294548	-0,105734		28,016055	5,481135	24,471387	-3,737464	49,468777	26,348850	51,084882	6,413257	-0,110504
	2254,000000	28,210750	-0,296430	-0,105094		28,037663	5,517217	24,464304	-3,719006	49,421306	26,346993	51,017723	6,416674	-0,107331
	2255,000000	28,217849	-0,283396	-0,135383		28,027529	5,522761	24,484924	-3,703726	49,407853	26,357642	50,996038	6,411549	-0,109446
	2256,000000	28,281761	-0,266238	-0,131513		28,022409	5,532468	24,475733	-3,699224	49,413767	26,359478	50,958489	6,413257	-0,109446
	2257,000000	28,288865	-0,287852	-0,134394		28,033152	5,533386	24,471946	-3,681225	49,422964	26,365761	50,921330	6,409840	-0,110504
	2258,000000	28,374135	-0,278918	-0,110203		28,050596	5,558332	24,482070	-3,671940	49,419161	26,358746	50,889178	6,411549	-0,107331
	2259,000000	28,338599	-0,281908	-0,129191		28,035931	5,575643	24,490402	-3,648181	49,419571	26,366839	50,850543	6,408132	-0,109446
	2260,000000	28,246251	-0,302322	-0,117983		28,045827	5,585733	24,465672	-3,642913	49,381582	26,379463	50,808768	6,414966	-0,109446
	2261,000000	28,260454	-0,286812	-0,145070		28,046564	5,588234	24,472679	-3,624834	49,355077	26,363843	50,770339	6,411549	-0,109446
	2262,000000	28,345705	-0,275140	-0,147285		28,057305	5,607283	24,473867	-3,595343	49,335294	26,370572	50,736501	6,411549	-0,107331
	2263,000000	28,203650	-0,267388	-0,103425		28,044767	5,626770	24,483228	-3,601814	49,315211	26,354293	50,681176	6,409840	-0,108388
	2264,000000	28,395461	-0,269117	-0,122064		28,057989	5,641452	24,469208	-3,582425	49,323028	26,381666	50,662893	6,409840	-0,108388
	2265,000000	28,402571	-0,271566	-0,128776		28,074910	5,644644	24,479545	-3,571615	49,303875	26,371521	50,617914	6,411549	-0,106273
	2266,000000	28,232049	-0,295048	-0,122171		28,073189	5,665334	24,474132	-3,548622	49,329768	26,381485	50,580385	6,406423	-0,108388
	2267,000000	28,630285	-0,282975	-0,111843		28,065470	5,672105	24,486298	-3,540831	49,352375	26,369468	50,559207	6,408132	-0,108388
	2268,000000	28,338599	-0,266238	-0,127108		28,054180	5,690113	24,458382	-3,529838	49,348758	26,383771	50,517627	6,413257	-0,109446
	2269,000000	28,260454	-0,279385	-0,129298		28,080852	5,705332	24,485690	-3,512564	49,332517	26,385156	50,471317	6,411549	-0,107331
	2270,000000	28,509261	-0,277646	-0,126868		28,083952	5,690594	24,474236	-3,497507	49,354824	26,382454	50,448804	6,406423	-0,109446
	2271,000000	28,317282	-0,292173	-0,118996		28,076181	5,724280	24,471419	-3,470865	49,352757	26,392786	50,409826	6,411549	-0,107331
	2272,000000	28,310177	-0,278928	-0,132206		28,096262	5,736881	24,464832	-3,460788	49,368149	26,387815	50,362331	6,413257	-0,107331
	2273,000000	28,274658	-0,273437	-0,112191		28,086183	5,759529	24,466519	-3,439235	49,371173	26,357897	50,320695	6,408132	-0,106273
	2274,000000	28,374135	-0,293129	-0,132045		28,087497	5,762000	24,463045	-3,425748	49,354217	26,383009	50,290437	6,409840	-0,109446
	2275,000000	28,338599	-0,276501	-0,122277		28,087553	5,762813	24,478217	-3,421516	49,321748	26,373646	50,252355	6,411549	-0,109446
	2276,000000	28,246251	-0,277756	-0,119288		28,084716	5,795024	24,473344	-3,387843	49,298204	26,374984	50,210324	6,411549	-0,106273
	2277,000000	28,452348	-0,275549	-0,117101		28,099862	5,790520	24,468996	-3,365111	49,279768	26,385996	50,179230	6,411549	-0,108388
	2278,000000	28,395461	-0,279412	-0,119609		28,088180	5,807167	24,471473	-3,362507	49,265264	26,372983	50,153818	6,409840	-0,107331
	2279,000000	28,303073	-0,273973	-0,136207		28,092698	5,809252	24,483932	-3,336533	49,277393	26,367306	50,105983	6,411549	-0,106273
	2280,000000	28,331493	-0,286848	-0,141225		28,096032	5,828591	24,481377	-3,310185	49,275424	26,375218	50,077263	6,411549	-0,106273
	2281,000000	28,352812	-0,277204	-0,123558		28,089546	5,836704	24,472659	-3,281728	49,260469	26,390252	50,038193	6,408132	-0,109446
	2282,000000	28,324387	-0,290685	-0,115018		28,084664	5,837668	24,488592	-3,294390	49,278567	26,379531	49,991184	6,411549	-0,105215
	2283,000000	28,267556	-0,271976	-0,131217		28,097658	5,877294	24,469920	-3,262336	49,309878	26,390257	49,960889	6,413257	-0,107331
	2284,000000	28,345705	-0,261802	-0,152729		28,097395	5,873891	24,477029	-3,252895	49,328105	26,377841	49,915104	6,413257	-0,107331
	2285,000000	28,288865	-0,273846	-0,136020		28,101968	5,886347	24,466685	-3,225172	49,323661	26,382154	49,859725	6,409840	-0,107331
	2286,000000	28,274658	-0,284803	-0,125613		28,099023	5,905516	24,470735	-3,199196	49,342672	26,385332	49,857064	6,409840	-0,106273
	2287,000000	28,445236	-0,293649	-0,127963		28,107946	5,901364	24,468441	-3,190324	49,318070	26,388754	49,798279	6,411549	-0,105215
	2288,000000	28,288865	-0,267771	-0,128068		28,113856	5,917015	24,479163	-3,155598	49,323572	26,390724	49,773837	6,409840	-0,107331
	2289,000000	28,324387	-0,279390	-0,128467		28,113833	5,935634	24,488726	-3,137754	49,329404	26,420854	49,754274	6,413257	-0,106273
	2290,000000	28,310177	-0,281392	-0,124652		28,123965	5,938286	24,490410	-3,137538	49,339368	26,402684	49,705724	6,413257	-0,107331
	2291,000000	28,502146	-0,279448	-0,117899		28,105881	5,957612	24,486279	-3,103841	49,375519	26,392824	49,667499	6,408132	-0,106273
	2292,000000	28,196552	-0,271234	-0,104557		28,123152	5,969654	24,482220	-3,092259	49,401939	26,411968	49,623419	6,413257	-0,107331
	2293,000000	28,295968	-0,278166	-0,098260		28,111075	5,989295	24,499601	-3,063359	49,427550	26,409179	49,587797	6,411549	-0,106273
	2294,000000	28,161064	-0,276169	-0,133964		28,118771	6,008789	24,473217	-3,043691	49,463139	26,414830	49,566965	6,409840	-0,106273
	2295,000000	28,352812	-0,280830	-0,125185		28,130161	5,994500	24,494782	-3,043727	49,476295	26,409128	49,525951	6,413257	-0,106273
	2296,000000	28,331493	-0,277262	-0,128307		28,135439	6,012175	24,492335	-3,021356	49,487361	26,409703	49,477729	6,411549	-0,108388
	2297,000000	28,295968	-0,283205	-0,135634		28,129910	6,018530	24,492318	-3,000947	49,501254	26,400527	49,445590	6,413257	-0,107331
	2298,000000	28,352812	-0,258344	-0,130523		28,120553	6,026686	24,477586	-2,968130	49,528447	26,412539	49,408595	6,409840	-0,105215
	2299,000000	28,431013	-0,276683	-0,135567		28,130109	6,046203	24,491780	-2,949392	49,542554	26,405857	49,366976	6,413257	-0,104158
	2300,000000	28,260454	-0,274928	-0,137462		28,136383	6,051655	24,483326	-2,917986	49,523413	26,418631	49,321691	6,411549	-0,105215
	2301,000000	28,374135	-0,276068	-0,136073		28,129849	6,044006	24,480827	-2,923051	49,535196	26,412353	49,295285	6,414966	-0,107331
	2302,000000	28,338599	-0,282543	-0,116444		28,128314	6,074410	24,481499	-2,904684	49,502514	26,411119	49,252868	6,409840	-0,107331
	2303,000000	28,054658	-0,279642	-0,117151		28,144447	6,098990	24,493076	-2,866856	49,488794	26,423550	49,217003	6,408132	-0,106273
	2304,000000	28,480802	-0,278843	-0,117339		28,127276	6,090910	24,487832	-2,861578	49,475950	26,415137	49,178738	6,413257	-0,107331
	2305,000000	28,495031	-0,275485	-0,099192		28,137830	6,114570	24,482566	-2,826573	49,471643	26,404463	49,144760	6,414966	-0,107331
	2306,000000	28,352812	-0,291046	-0,124384		28,157385	6,129875	24,475453	-2,800938	49,456396	26,402731	49,132214	6,413257	-0,106273
	2307,000000	28,260454	-0,277508	-0,128615		28,150677	6,140268	24,493610	-2,762681	49,453220	26,402099	49,078093	6,411549	-0,109446
	2308,000000	28,310177	-0,269058	-0,137632		28,142862	6,115701	24,471392	-2,763628	49,433702	26,425525	49,037477	6,411549	-0,104158
	2309,000000	28,239150	-0,283615	-0,145707		28,137173	6,145393	24,487069	-2,726905	49,432499	26,406381	48,992283	6,408132	-0,106273
	2310,000000	28,246251	-0,282043	-0,112723		28,154207	6,162387	24,487751	-2,729621	49,431166	26,416028	48,981152	6,409840	-0,105215
	2311,000000	28,431013	-0,279053	-0,137327		28,143028	6,173522	24,499025	-2,693083	49,422381	26,424131	48,924758	6,411549	-0,106273
	2312,000000	28,359919	-0,257796	-0,136966		28,149108	6,187144	24,485585	-2,675581	49,406777	26,419704	48,889317	6,406423	-0,105215
	2313,000000	28,338599	-0,270960	-0,123222		28,150681	6,197521	24,489558	-2,642649	49,397442	26,411871	48,861376	6,409840	-0,109446
	2314,000000	28,367027	-0,299828	-0,113428		28,143412	6,194254	24,486138	-2,627241	49,398269	26,424987	48,838465	6,409840	-0,106273
	2315,000000	28,203650	-0,267760	-0,108131		28,136442	6,212484	24,476012	-2,591883	49,388190	26,423125	48,784932	6,408132	-0,105215
	2316,000000	28,239150	-0,291850	-0,122780		28,152746	6,213190	24,462136	-2,575311	49,364655	26,435432	48,749294	6,408132	-0,105215
